GO:0000001	mitochondrion inheritance
GO:0000002	mitochondrial genome maintenance
GO:0000003	reproduction
GO:0000006	high-affinity zinc transmembrane transporter activity
GO:0000007	low-affinity zinc ion transmembrane transporter activity
GO:0000009	alpha-1,6-mannosyltransferase activity
GO:0000010	trans-hexaprenyltranstransferase activity
GO:0000011	vacuole inheritance
GO:0000012	single strand break repair
GO:0000014	single-stranded DNA endodeoxyribonuclease activity
GO:0000015	phosphopyruvate hydratase complex
GO:0000016	lactase activity
GO:0000017	alpha-glucoside transport
GO:0000018	regulation of DNA recombination
GO:0000019	regulation of mitotic recombination
GO:0000022	mitotic spindle elongation
GO:0000023	maltose metabolic process
GO:0000024	maltose biosynthetic process
GO:0000025	maltose catabolic process
GO:0000026	alpha-1,2-mannosyltransferase activity
GO:0000027	ribosomal large subunit assembly
GO:0000028	ribosomal small subunit assembly
GO:0000030	mannosyltransferase activity
GO:0000031	mannosylphosphate transferase activity
GO:0000032	cell wall mannoprotein biosynthetic process
GO:0000033	alpha-1,3-mannosyltransferase activity
GO:0000034	adenine deaminase activity
GO:0000035	acyl binding
GO:0000036	acyl carrier activity
GO:0000038	very long-chain fatty acid metabolic process
GO:0000041	transition metal ion transport
GO:0000045	autophagosome assembly
GO:0000048	peptidyltransferase activity
GO:0000049	tRNA binding
GO:0000050	urea cycle
GO:0000052	citrulline metabolic process
GO:0000053	argininosuccinate metabolic process
GO:0000054	ribosomal subunit export from nucleus
GO:0000055	ribosomal large subunit export from nucleus
GO:0000056	ribosomal small subunit export from nucleus
GO:0000062	fatty-acyl-CoA binding
GO:0000064	L-ornithine transmembrane transporter activity
GO:0000070	mitotic sister chromatid segregation
GO:0000073	mitotic spindle pole body separation
GO:0000075	cell cycle checkpoint
GO:0000076	DNA replication checkpoint
GO:0000077	DNA damage checkpoint
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity
GO:0000082	G1/S transition of mitotic cell cycle
GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle
GO:0000086	G2/M transition of mitotic cell cycle
GO:0000095	S-adenosyl-L-methionine transmembrane transporter activity
GO:0000096	sulfur amino acid metabolic process
GO:0000097	sulfur amino acid biosynthetic process
GO:0000098	sulfur amino acid catabolic process
GO:0000099	sulfur amino acid transmembrane transporter activity
GO:0000100	S-methylmethionine transmembrane transporter activity
GO:0000101	sulfur amino acid transport
GO:0000102	L-methionine secondary active transmembrane transporter activity
GO:0000103	sulfate assimilation
GO:0000104	succinate dehydrogenase activity
GO:0000105	histidine biosynthetic process
GO:0000107	imidazoleglycerol-phosphate synthase activity
GO:0000109	nucleotide-excision repair complex
GO:0000110	nucleotide-excision repair factor 1 complex
GO:0000111	nucleotide-excision repair factor 2 complex
GO:0000112	nucleotide-excision repair factor 3 complex
GO:0000113	nucleotide-excision repair factor 4 complex
GO:0000117	regulation of transcription involved in G2/M transition of mitotic cell cycle
GO:0000118	histone deacetylase complex
GO:0000120	RNA polymerase I transcription factor complex
GO:0000121	glycerol-1-phosphatase activity
GO:0000122	negative regulation of transcription by RNA polymerase II
GO:0000123	histone acetyltransferase complex
GO:0000124	SAGA complex
GO:0000125	PCAF complex
GO:0000126	transcription factor TFIIIB complex
GO:0000127	transcription factor TFIIIC complex
GO:0000128	flocculation
GO:0000131	incipient cellular bud site
GO:0000132	establishment of mitotic spindle orientation
GO:0000133	polarisome
GO:0000136	alpha-1,6-mannosyltransferase complex
GO:0000137	Golgi cis cisterna
GO:0000138	Golgi trans cisterna
GO:0000139	Golgi membrane
GO:0000140	acylglycerone-phosphate reductase activity
GO:0000142	cellular bud neck contractile ring
GO:0000144	cellular bud neck septin ring
GO:0000145	exocyst
GO:0000146	microfilament motor activity
GO:0000147	actin cortical patch assembly
GO:0000148	1,3-beta-D-glucan synthase complex
GO:0000149	SNARE binding
GO:0000150	recombinase activity
GO:0000151	ubiquitin ligase complex
GO:0000152	nuclear ubiquitin ligase complex
GO:0000153	cytoplasmic ubiquitin ligase complex
GO:0000154	rRNA modification
GO:0000155	phosphorelay sensor kinase activity
GO:0000156	phosphorelay response regulator activity
GO:0000159	protein phosphatase type 2A complex
GO:0000160	phosphorelay signal transduction system
GO:0000161	osmosensory signaling MAPK cascade
GO:0000162	tryptophan biosynthetic process
GO:0000164	protein phosphatase type 1 complex
GO:0000165	MAPK cascade
GO:0000166	nucleotide binding
GO:0000168	activation of MAPKK activity involved in osmosensory signaling pathway
GO:0000169	activation of MAPK activity involved in osmosensory signaling pathway
GO:0000170	sphingosine hydroxylase activity
GO:0000171	ribonuclease MRP activity
GO:0000172	ribonuclease MRP complex
GO:0000175	3'-5'-exoribonuclease activity
GO:0000176	nuclear exosome (RNase complex)
GO:0000177	cytoplasmic exosome (RNase complex)
GO:0000178	exosome (RNase complex)
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity
GO:0000182	rDNA binding
GO:0000183	chromatin silencing at rDNA
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0000185	activation of MAPKKK activity
GO:0000186	activation of MAPKK activity
GO:0000187	activation of MAPK activity
GO:0000188	inactivation of MAPK activity
GO:0000196	cell wall integrity MAPK cascade
GO:0000209	protein polyubiquitination
GO:0000210	NAD+ diphosphatase activity
GO:0000212	meiotic spindle organization
GO:0000213	tRNA-intron endonuclease activity
GO:0000214	tRNA-intron endonuclease complex
GO:0000215	tRNA 2'-phosphotransferase activity
GO:0000217	DNA secondary structure binding
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain
GO:0000224	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity
GO:0000225	N-acetylglucosaminylphosphatidylinositol deacetylase activity
GO:0000226	microtubule cytoskeleton organization
GO:0000228	nuclear chromosome
GO:0000229	cytoplasmic chromosome
GO:0000234	phosphoethanolamine N-methyltransferase activity
GO:0000235	astral microtubule
GO:0000242	pericentriolar material
GO:0000243	commitment complex
GO:0000244	spliceosomal tri-snRNP complex assembly
GO:0000245	spliceosomal complex assembly
GO:0000246	delta24(24-1) sterol reductase activity
GO:0000247	C-8 sterol isomerase activity
GO:0000248	C-5 sterol desaturase activity
GO:0000249	C-22 sterol desaturase activity
GO:0000250	lanosterol synthase activity
GO:0000252	C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity
GO:0000253	3-keto sterol reductase activity
GO:0000254	C-4 methylsterol oxidase activity
GO:0000255	allantoin metabolic process
GO:0000256	allantoin catabolic process
GO:0000257	nitrilase activity
GO:0000262	mitochondrial chromosome
GO:0000266	mitochondrial fission
GO:0000268	peroxisome targeting sequence binding
GO:0000270	peptidoglycan metabolic process
GO:0000271	polysaccharide biosynthetic process
GO:0000272	polysaccharide catabolic process
GO:0000274	mitochondrial proton-transporting ATP synthase, stator stalk
GO:0000275	mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)
GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)
GO:0000277	[cytochrome c]-lysine N-methyltransferase activity
GO:0000278	mitotic cell cycle
GO:0000280	nuclear division
GO:0000281	mitotic cytokinesis
GO:0000282	cellular bud site selection
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kinase activity
GO:0000286	alanine dehydrogenase activity
GO:0000287	magnesium ion binding
GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay
GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening
GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA
GO:0000291	nuclear-transcribed mRNA catabolic process, exonucleolytic
GO:0000292	RNA fragment catabolic process
GO:0000293	ferric-chelate reductase activity
GO:0000294	nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay
GO:0000295	adenine nucleotide transmembrane transporter activity
GO:0000296	spermine transport
GO:0000297	spermine transmembrane transporter activity
GO:0000298	endopolyphosphatase activity
GO:0000301	retrograde transport, vesicle recycling within Golgi
GO:0000302	response to reactive oxygen species
GO:0000303	response to superoxide
GO:0000304	response to singlet oxygen
GO:0000305	response to oxygen radical
GO:0000306	extrinsic component of vacuolar membrane
GO:0000307	cyclin-dependent protein kinase holoenzyme complex
GO:0000308	cytoplasmic cyclin-dependent protein kinase holoenzyme complex
GO:0000309	nicotinamide-nucleotide adenylyltransferase activity
GO:0000310	xanthine phosphoribosyltransferase activity
GO:0000312	plastid small ribosomal subunit
GO:0000313	organellar ribosome
GO:0000314	organellar small ribosomal subunit
GO:0000315	organellar large ribosomal subunit
GO:0000316	sulfite transport
GO:0000319	sulfite transmembrane transporter activity
GO:0000320	re-entry into mitotic cell cycle
GO:0000321	re-entry into mitotic cell cycle after pheromone arrest
GO:0000322	storage vacuole
GO:0000323	lytic vacuole
GO:0000324	fungal-type vacuole
GO:0000325	plant-type vacuole
GO:0000326	protein storage vacuole
GO:0000328	fungal-type vacuole lumen
GO:0000329	fungal-type vacuole membrane
GO:0000330	plant-type vacuole lumen
GO:0000331	contractile vacuole
GO:0000333	telomerase catalytic core complex
GO:0000334	3-hydroxyanthranilate 3,4-dioxygenase activity
GO:0000335	negative regulation of transposition, DNA-mediated
GO:0000337	regulation of transposition, DNA-mediated
GO:0000338	protein deneddylation
GO:0000339	RNA cap binding
GO:0000340	RNA 7-methylguanosine cap binding
GO:0000341	RNA trimethylguanosine cap binding
GO:0000346	transcription export complex
GO:0000347	THO complex
GO:0000348	mRNA branch site recognition
GO:0000349	generation of catalytic spliceosome for first transesterification step
GO:0000350	generation of catalytic spliceosome for second transesterification step
GO:0000354	cis assembly of pre-catalytic spliceosome
GO:0000365	mRNA trans splicing, via spliceosome
GO:0000372	Group I intron splicing
GO:0000373	Group II intron splicing
GO:0000374	Group III intron splicing
GO:0000375	RNA splicing, via transesterification reactions
GO:0000376	RNA splicing, via transesterification reactions with guanosine as nucleophile
